ISO-3,Country,Population,Region,Prevalence,Strength of government response
LAO,Lao People's Democratic Republic,"  6,664,000 ",Asia and the Pacific,9.36,34.05
LVA,Latvia,"  1,993,000 ",Europe and Central Asia,3.86,60.89
LBN,Lebanon,"  5,851,000 ",Arab States,1.72,31.31
LSO,Lesotho,"  2,175,000 ",Africa,4.18,38.27
LBR,Liberia,"  4,500,000 ",Africa,7.41,31.67
LBY,Libya,"  6,235,000 ",Africa,7.74,-2.50
LTU,Lithuania,"  2,932,000 ",Europe and Central Asia,5.80,59.11
LUX,Luxembourg,"  567,000 ",Europe and Central Asia,1.49,45.42
MKD,"Macedonia, the former Yugoslav Republic of","  2,079,000 ",Europe and Central Asia,8.66,63.21
MDG,Madagascar,"  24,234,000 ",Africa,7.51,31.79
MWI,Malawi,"  17,574,000 ",Africa,7.46,26.79
MYS,Malaysia,"  30,723,000 ",Asia and the Pacific,6.91,38.39
MLI,Mali,"  17,468,000 ",Africa,3.57,30.83
MLT,Malta,"  428,000 ",Europe and Central Asia,0.00,0.00
MRT,Mauritania,"  4,182,000 ",Africa,21.43,15.48
MUS,Mauritius,"  1,259,000 ",Africa,0.96,34.88
MEX,Mexico,"  125,891,000 ",Americas,2.71,52.44
MDA,"Moldova, Republic of","  4,066,000 ",Europe and Central Asia,5.51,55.71
MNG,Mongolia,"  2,977,000 ",Asia and the Pacific,12.29,30.65
MNE,Montenegro,"  628,000 ",Europe and Central Asia,5.86,63.99
MAR,Morocco,"  34,803,000 ",Africa,2.45,36.55
MOZ,Mozambique,"  28,011,000 ",Africa,5.41,40.71
MMR,Myanmar,"  52,404,000 ",Asia and the Pacific,10.97,32.38
NAM,Namibia,"  2,426,000 ",Africa,3.33,33.27
NRU,Nauru,  -   ,Asia and the Pacific,0.00,0.00
NPL,Nepal,"  28,656,000 ",Asia and the Pacific,5.95,38.69
NLD,Netherlands,"  16,938,000 ",Europe and Central Asia,1.77,75.24
NZL,New Zealand,"  4,615,000 ",Asia and the Pacific,0.64,57.56
NIC,Nicaragua,"  6,082,000 ",Americas,2.90,46.31
NER,Niger,"  19,897,000 ",Africa,6.71,25.89
NGA,Nigeria,"  181,182,000 ",Africa,7.65,45.83
NOR,Norway,"  5,200,000 ",Europe and Central Asia,1.81,66.85
OMN,Oman,"  4,200,000 ",Arab States,2.14,31.96
PAK,Pakistan,"  189,381,000 ",Asia and the Pacific,16.82,18.57
PLW,Palau,  -   ,Asia and the Pacific,0.00,0.00
PAN,Panama,"  3,969,000 ",Americas,2.06,43.87
PNG,Papua New Guinea,"  7,920,000 ",Asia and the Pacific,10.28,18.93
PRY,Paraguay,"  6,639,000 ",Americas,1.60,40.89
PER,Peru,"  31,377,000 ",Americas,2.56,52.50
PHL,Philippines,"  101,716,000 ",Asia and the Pacific,7.70,55.83
POL,Poland,"  38,265,000 ",Europe and Central Asia,3.36,53.87
PRT,Portugal,"  10,418,000 ",Europe and Central Asia,2.48,66.25
QAT,Qatar,"  2,482,000 ",Arab States,1.50,35.42
ROU,Romania,"  19,877,000 ",Europe and Central Asia,4.32,43.93
RUS,Russian Federation,"  143,888,000 ",Europe and Central Asia,5.52,20.71
RWA,Rwanda,"  11,630,000 ",Africa,11.56,33.57
KNA,Saint Kitts and Nevis,  -   ,Americas,0.00,0.00
LCA,Saint Lucia,"  177,000 ",Americas,0.00,0.00
VCT,Saint Vincent and the Grenadines,"  109,000 ",Americas,0.00,0.00
WSM,Samoa,"  194,000 ",Asia and the Pacific,0.00,0.00
SAU,Saudi Arabia,"  31,557,000 ",Arab States,1.93,27.92
SEN,Senegal,"  14,977,000 ",Africa,2.87,47.08
SRB,Serbia,"  8,851,000 ",Europe and Central Asia,3.33,61.90
SYC,Seychelles,"  94,000 ",Africa,0.00,0.00
SLE,Sierra Leone,"  7,237,000 ",Africa,5.03,46.20
SGP,Singapore,"  5,535,000 ",Asia and the Pacific,3.43,32.80
SVK,Slovakia,"  5,439,000 ",Europe and Central Asia,2.94,53.15
SVN,Slovenia,"  2,075,000 ",Europe and Central Asia,2.17,59.58
SLB,Solomon Islands,"  587,000 ",Asia and the Pacific,0.00,0.00
SOM,Somalia,"  13,908,000 ",Africa,15.50,15.95
ZAF,South Africa,"  55,291,000 ",Africa,2.80,47.44
SSD,South Sudan,"  11,882,000 ",Africa,20.46,0.00
ESP,Spain,"  46,398,000 ",Europe and Central Asia,2.27,66.90
LKA,Sri Lanka,"  20,714,000 ",Asia and the Pacific,2.12,37.38
SDN,Sudan,"  38,648,000 ",Africa,12.04,14.94
SUR,Suriname,"  553,000 ",Americas,2.26,27.14
SWZ,Swaziland,"  1,319,000 ",Africa,8.83,29.29
SWE,Sweden,"  9,764,000 ",Europe and Central Asia,1.58,68.69
CHE,Switzerland,"  8,320,000 ",Europe and Central Asia,1.67,60.00
SYR,Syrian Arab Republic,"  18,735,000 ",Arab States,7.27,0.00
TWN,"Taiwan, China","  23,486,000 ",Asia and the Pacific,0.49,38.21
TJK,Tajikistan,"  8,549,000 ",Europe and Central Asia,4.54,33.04
TZA,"Tanzania, United Republic of","  53,880,000 ",Africa,6.24,32.80
THA,Thailand,"  68,658,000 ",Asia and the Pacific,8.88,48.87
TLS,Timor-Leste,"  1,241,000 ",Asia and the Pacific,7.66,28.51
TGO,Togo,"  7,417,000 ",Africa,6.81,23.57
TON,Tonga,"  106,000 ",Asia and the Pacific,0.00,0.00
TTO,Trinidad and Tobago,"  1,360,000 ",Americas,2.96,49.88
TUN,Tunisia,"  11,274,000 ",Africa,2.18,44.35
TUR,Turkey,"  78,271,000 ",Europe and Central Asia,6.50,47.38
TKM,Turkmenistan,"  5,565,000 ",Europe and Central Asia,11.22,27.08
TUV,Tuvalu,  -   ,Asia and the Pacific,0.00,0.00
UGA,Uganda,"  40,145,000 ",Africa,7.58,42.02
UKR,Ukraine,"  44,658,000 ",Europe and Central Asia,6.41,53.04
ARE,United Arab Emirates,"  9,154,000 ",Arab States,1.67,47.80
GBR,United Kingdom,"  65,397,000 ",Europe and Central Asia,2.08,71.50
USA,United States,"  319,929,000 ",Americas,1.26,71.73
URY,Uruguay,"  3,432,000 ",Americas,1.03,50.42
UZB,Uzbekistan,"  30,976,000 ",Europe and Central Asia,5.18,30.36
VUT,Vanuatu,"  265,000 ",Asia and the Pacific,0.00,0.00
VEN,"Venezuela, Bolivarian Republic of","  31,155,000 ",Americas,5.58,28.21
VNM,Viet Nam,"  93,572,000 ",Asia and the Pacific,4.50,48.10
YEM,Yemen,"  26,916,000 ",Arab States,3.15,0.00
ZMB,Zambia,"  16,101,000 ",Africa,5.74,31.79
ZWE,Zimbabwe,"  15,777,000 ",Africa,6.67,19.05
